Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"EGR1_H1HESC_HG19"	"EGR1"	"3"	"971"	"0.009297"	"1.0"	"8.852"	"ENCODE--ChIP-seq"	"TSC22D4,MCM8,PABPC1L"
"gene_set_query"	"2"	"0.01695"	"GABPA_SKNSH_HG19"	"GABPA"	"4"	"1957"	"0.01245"	"1.0"	"5.85"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,MCM8,PABPC1L"
"gene_set_query"	"3"	"0.02542"	"SPI1_K562_HG19"	"SPI1"	"3"	"1415"	"0.02432"	"1.0"	"6.068"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,MCM8"
"gene_set_query"	"4"	"0.0339"	"MAX_SKNSH_HG19"	"MAX"	"3"	"1464"	"0.02644"	"1.0"	"5.865"	"ENCODE--ChIP-seq"	"SZT2,MCM8,STARD8"
"gene_set_query"	"5"	"0.04237"	"ELF1_A549_HG19"	"ELF1"	"3"	"1559"	"0.03082"	"1.0"	"5.507"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,MCM8"
"gene_set_query"	"6"	"0.05085"	"TAL1_MEGAKARYOCYTE_MM9"	"TAL1"	"2"	"680"	"0.03334"	"1.0"	"8.425"	"ENCODE--ChIP-seq"	"TSC22D4,SYNE1"
"gene_set_query"	"7"	"0.05932"	"USF2_CH12LX_MM9"	"USF2"	"3"	"1719"	"0.03895"	"1.0"	"4.993"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,MCM8"
"gene_set_query"	"8"	"0.0678"	"ZBTB7A_HEPG2_HG19"	"ZBTB7A"	"3"	"1735"	"0.03981"	"1.0"	"4.947"	"ENCODE--ChIP-seq"	"TSC22D4,MCM8,PABPC1L"
"gene_set_query"	"9"	"0.07627"	"BHLHE40_GM12878_HG19"	"BHLHE40"	"3"	"1816"	"0.04432"	"1.0"	"4.726"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,PABPC1L"
"gene_set_query"	"10"	"0.08475"	"ZEB1_GM12878_HG19"	"ZEB1"	"2"	"803"	"0.04474"	"1.0"	"7.131"	"ENCODE--ChIP-seq"	"TSC22D4,PABPC1L"
"gene_set_query"	"11"	"0.09322"	"RFX5_HELAS3_HG19"	"RFX5"	"3"	"1832"	"0.04524"	"1.0"	"4.685"	"ENCODE--ChIP-seq"	"SZT2,MCM8,STARD8"
"gene_set_query"	"12"	"0.1017"	"ELK1_K562_HG19"	"ELK1"	"3"	"1837"	"0.04553"	"1.0"	"4.672"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,MCM8"
"gene_set_query"	"13"	"0.1102"	"NFYB_GM12878_HG19"	"NFYB"	"3"	"1839"	"0.04564"	"1.0"	"4.667"	"ENCODE--ChIP-seq"	"SZT2,MCM8,PABPC1L"
"gene_set_query"	"14"	"0.1186"	"ZNF384_K562_HG19"	"ZNF384"	"3"	"1841"	"0.04576"	"1.0"	"4.662"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,PABPC1L"
"gene_set_query"	"15"	"0.1271"	"ZNF263_K562_HG19"	"ZNF263"	"2"	"849"	"0.0493"	"1.0"	"6.744"	"ENCODE--ChIP-seq"	"TSC22D4,MCM8"
"gene_set_query"	"16"	"0.1356"	"PBX3_SKNSH_HG19"	"PBX3"	"3"	"1919"	"0.05037"	"1.0"	"4.472"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2,MCM8"
"gene_set_query"	"17"	"0.1441"	"FOXP2_PFSK1_HG19"	"FOXP2"	"1"	"152"	"0.05878"	"1.0"	"18.91"	"ENCODE--ChIP-seq"	"TSC22D4"
"gene_set_query"	"18"	"0.1525"	"TCF12_A549_HG19"	"TCF12"	"2"	"1012"	"0.06661"	"1.0"	"5.656"	"ENCODE--ChIP-seq"	"TSC22D4,MCM8"
"gene_set_query"	"19"	"0.161"	"NFIC_GM12878_HG19"	"NFIC"	"2"	"1061"	"0.07213"	"1.0"	"5.394"	"ENCODE--ChIP-seq"	"TSC22D4,MCM8"
"gene_set_query"	"20"	"0.1695"	"ETS1_A549_HG19"	"ETS1"	"2"	"1355"	"0.1076"	"1.0"	"4.222"	"ENCODE--ChIP-seq"	"SZT2,MCM8"
"gene_set_query"	"21"	"0.178"	"E2F6_A549_HG19"	"E2F6"	"2"	"1357"	"0.1079"	"1.0"	"4.216"	"ENCODE--ChIP-seq"	"MCM8,STARD8"
"gene_set_query"	"22"	"0.1864"	"SP4_H1HESC_HG19"	"SP4"	"2"	"1367"	"0.1091"	"1.0"	"4.185"	"ENCODE--ChIP-seq"	"TSC22D4,SZT2"
"gene_set_query"	"23"	"0.1949"	"SRF_ECC1_HG19"	"SRF"	"2"	"1461"	"0.1212"	"1.0"	"3.915"	"ENCODE--ChIP-seq"	"MCM8,PABPC1L"
