Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
myQuery	1	0.008475	FOS_HELAS3_HG19	FOS	3	780	0.005187	0.447	11.03	ENCODE--ChIP-seq	ANXA3,BHLHE40,BPGM
myQuery	2	0.01695	JUN_ENDOTHELIALCELLOFUMBILICALVEIN_HG19	JUN	3	877	0.007102	0.447	9.804	ENCODE--ChIP-seq	EDN1,ANXA3,BHLHE40
myQuery	3	0.02542	USF2_K562_HG19	USF2	4	1824	0.009945	0.447	6.277	ENCODE--ChIP-seq	COMMD10,BHLHE40,HS1BP3,BPGM
myQuery	4	0.0339	GATA3_SKNSH_HG19	GATA3	3	1054	0.01152	0.447	8.153	ENCODE--ChIP-seq	EDN1,ANXA3,BHLHE40
myQuery	5	0.04237	ESR1_T47D_HG19	ESR1	2	382	0.01156	0.447	15.03	ENCODE--ChIP-seq	EDN1,BHLHE40
myQuery	6	0.05085	CTCF_GM12868_HG19	CTCF	3	1323	0.02057	0.447	6.491	ENCODE--ChIP-seq	EDN1,HS1BP3,BPGM
myQuery	7	0.05932	FOXM1_ECC1_HG19	FOXM1	2	525	0.02087	0.447	10.92	ENCODE--ChIP-seq	ANXA3,BHLHE40
myQuery	8	0.0678	ZNF217_MCF7_HG19	ZNF217	3	1423	0.02466	0.447	6.034	ENCODE--ChIP-seq	EDN1,ANXA3,BHLHE40
myQuery	9	0.07627	SP1_HCT116_HG19	SP1	3	1458	0.02618	0.447	5.889	ENCODE--ChIP-seq	ANXA3,BHLHE40,BPGM
myQuery	10	0.08475	SRF_MCF7_HG19	SRF	3	1514	0.02871	0.447	5.671	ENCODE--ChIP-seq	ANXA3,HS1BP3,BPGM
myQuery	11	0.09322	REST_NEURALCELL_HG19	REST	2	658	0.03143	0.447	8.708	ENCODE--ChIP-seq	COMMD10,BPGM
myQuery	12	0.1017	IRF3_HEPG2_HG19	IRF3	2	699	0.03502	0.447	8.196	ENCODE--ChIP-seq	BHLHE40,BPGM
