Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
myQuery	1	0.008475	ATF3_GM12878_HG19	ATF3	2	1278	0.01994	1.0	15.67	ENCODE--ChIP-seq	AFG3L1P,ZFP64
myQuery	2	0.01695	CTCF_BCELL_HG19	CTCF	2	1821	0.03727	1.0	10.99	ENCODE--ChIP-seq	AFG3L1P,ZFP64
myQuery	3	0.02542	MAX_H1HESC_HG19	MAX	2	2851	0.07857	1.0	7.019	ENCODE--ChIP-seq	AFG3L1P,ZFP64
myQuery	4	0.0339	REST_MCF7_HG19	REST	1	642	0.09044	1.0	15.6	ENCODE--ChIP-seq	ZFP64
myQuery	5	0.04237	ZEB1_GM12878_HG19	ZEB1	1	803	0.1114	1.0	12.47	ENCODE--ChIP-seq	ZFP64
myQuery	6	0.05085	PAX5_GM12891_HG19	PAX5	1	817	0.1132	1.0	12.25	ENCODE--ChIP-seq	ZFP64
myQuery	7	0.05932	ZBTB33_HCT116_HG19	ZBTB33	1	993	0.1353	1.0	10.08	ENCODE--ChIP-seq	AFG3L1P
myQuery	8	0.0678	ELF1_GM12878_HG19	ELF1	1	1061	0.1437	1.0	9.433	ENCODE--ChIP-seq	AFG3L1P
myQuery	9	0.07627	FOS_GM12878_HG19	FOS	1	1146	0.1539	1.0	8.733	ENCODE--ChIP-seq	ZFP64
myQuery	10	0.08475	JUND_CH12LX_MM9	JUND	1	1148	0.1542	1.0	8.718	ENCODE--ChIP-seq	AFG3L1P
myQuery	11	0.09322	SPI1_HL60_HG19	SPI1	1	1160	0.1556	1.0	8.627	ENCODE--ChIP-seq	ZFP64
myQuery	12	0.1017	TCF12_ECC1_HG19	TCF12	1	1198	0.1601	1.0	8.353	ENCODE--ChIP-seq	AFG3L1P
myQuery	13	0.1102	JUN_CH12LX_MM9	JUN	1	1325	0.1751	1.0	7.552	ENCODE--ChIP-seq	AFG3L1P
myQuery	14	0.1186	E2F6_A549_HG19	E2F6	1	1357	0.1788	1.0	7.374	ENCODE--ChIP-seq	AFG3L1P
myQuery	15	0.1271	SRF_ECC1_HG19	SRF	1	1461	0.1907	1.0	6.849	ENCODE--ChIP-seq	AFG3L1P
myQuery	16	0.1356	MYBL2_HEPG2_HG19	MYBL2	1	1487	0.1936	1.0	6.729	ENCODE--ChIP-seq	AFG3L1P
