Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
myQuery	1	0.008475	USF1_K562_HG19	USF1	10	1753	0.003687	0.402	3.095	ENCODE--ChIP-seq	PGAP2,ATF6B,INSIG1,THUMPD3,PPOX,HABP4,CD55,SLC19A2,TGFB2,GTF2H3
myQuery	2	0.01695	TEAD4_K562_HG19	TEAD4	8	1245	0.004214	0.402	3.489	ENCODE--ChIP-seq	ATF6B,THUMPD3,PPOX,IL4I1,SLC19A2,EDN1,TGFB2,GTF2H3
myQuery	3	0.02542	GATA2_ENDOTHELIALCELLOFUMBILICALVEIN_HG19	GATA2	10	1809	0.004532	0.402	2.999	ENCODE--ChIP-seq	INSIG1,HHIP,CASP1,S1PR1,ZNF566,SLC19A2,EDN1,TGFB2,PLEKHG2,IGFBP3
myQuery	4	0.0339	USF2_K562_HG19	USF2	10	1824	0.004782	0.402	2.974	ENCODE--ChIP-seq	PGAP2,ATF6B,INSIG1,THUMPD3,IL4I1,CD55,SLC19A2,SH3GL1,TGFB2,GTF2H3
myQuery	5	0.04237	FOXA2_A549_HG19	FOXA2	8	1276	0.004844	0.402	3.404	ENCODE--ChIP-seq	PGAP2,THUMPD3,PPOX,DHTKD1,CD55,SH3GL1,EDN1,GTF2H3
myQuery	6	0.05085	MYC_A549_HG19	MYC	10	1839	0.005043	0.402	2.95	ENCODE--ChIP-seq	PGAP2,INSIG1,DHTKD1,TNKS1BP1,CD55,SLC19A2,SH3GL1,TXNDC5,EDN1,TGFB2
myQuery	7	0.05932	BHLHE40_A549_HG19	BHLHE40	10	1842	0.005096	0.402	2.945	ENCODE--ChIP-seq	ATF6B,INSIG1,PPOX,HABP4,TNKS1BP1,CCNL2,CD55,SLC19A2,EDN1,GTF2H3
myQuery	8	0.0678	MAX_HCT116_HG19	MAX	10	1891	0.006031	0.411	2.868	ENCODE--ChIP-seq	PGAP2,THUMPD3,IL4I1,ZNF566,CD55,SLC19A2,SH3GL1,EDN1,STARD8,GTF2H3
myQuery	9	0.07627	JUND_CH12LX_MM9	JUND	7	1148	0.008978	0.413	3.31	ENCODE--ChIP-seq	THUMPD3,AFG3L1P,CASP1,S1PR1,TRIM69,SH3GL1,EHBP1L1
myQuery	10	0.08475	SP2_K562_HG19	SP2	10	2063	0.01037	0.413	2.628	ENCODE--ChIP-seq	PGAP2,ATF6B,PPOX,DHTKD1,HABP4,TNKS1BP1,CCNL2,SLC19A2,SH3GL1,PRKD2
myQuery	11	0.09322	E2F6_HELAS3_HG19	E2F6	6	922	0.01091	0.413	3.534	ENCODE--ChIP-seq	RNASEH2B,PGAP2,INSIG1,IL4I1,ZNF566,SH3GL1
myQuery	12	0.1017	ZBTB33_HEPG2_HG19	ZBTB33	7	1203	0.0113	0.413	3.158	ENCODE--ChIP-seq	ATF6B,PPOX,AFG3L1P,ZNF566,UBQLN4,CD55,SH3GL1
