Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
myQuery	1	0.008475	FOS_GM12878_HG19	FOS	4	1146	0.004137	1.0	7.78	ENCODE--ChIP-seq	CEP57,TADA2B,DHX35,OPA3
myQuery	2	0.01695	CTCF_TESTIS_MM9	CTCF	4	1738	0.0162	1.0	5.124	ENCODE--ChIP-seq	GEN1,CEP57,TADA2B,DHX35
myQuery	3	0.02542	CTCFL_K562_HG19	CTCFL	4	2154	0.03113	1.0	4.133	ENCODE--ChIP-seq	TADA2B,MIGA2,DHX35,LTBP2
myQuery	4	0.0339	EGR1_ECC1_HG19	EGR1	4	2158	0.0313	1.0	4.125	ENCODE--ChIP-seq	CEP57,DHX35,LTBP2,FGFRL1
myQuery	5	0.04237	USF1_HCT116_HG19	USF1	3	1287	0.03216	1.0	5.19	ENCODE--ChIP-seq	CEP57,MIGA2,DHX35
myQuery	6	0.05085	MAX_HELAS3_HG19	MAX	5	3288	0.03707	1.0	3.383	ENCODE--ChIP-seq	GEN1,CEP57,TADA2B,DHX35,OPA3
myQuery	7	0.05932	SP1_HCT116_HG19	SP1	3	1458	0.04336	1.0	4.58	ENCODE--ChIP-seq	CEP57,MIGA2,OPA3
myQuery	8	0.0678	SRF_MYOCYTE_MM9	SRF	3	1467	0.044	1.0	4.552	ENCODE--ChIP-seq	CEP57,MIGA2,OPA3
myQuery	9	0.07627	TAL1_MEGAKARYOCYTE_MM9	TAL1	2	680	0.04878	1.0	6.552	ENCODE--ChIP-seq	GEN1,MIGA2
myQuery	10	0.08475	TCF7L2_HELAS3_HG19	TCF7L2	4	2574	0.05187	1.0	3.457	ENCODE--ChIP-seq	GEN1,CEP57,DHX35,OPA3
myQuery	11	0.09322	ETS1_CH12LX_MM9	ETS1	3	1661	0.0587	1.0	4.019	ENCODE--ChIP-seq	CEP57,DHX35,FGFRL1
myQuery	12	0.1017	IRF3_HELAS3_HG19	IRF3	3	1688	0.06089	1.0	3.955	ENCODE--ChIP-seq	CEP57,MIGA2,OPA3
myQuery	13	0.1102	ZBTB7A_K562_HG19	ZBTB7A	2	788	0.06292	1.0	5.652	ENCODE--ChIP-seq	CEP57,DHX35
myQuery	14	0.1186	MXI1_CH12LX_MM9	MXI1	3	1721	0.06362	1.0	3.879	ENCODE--ChIP-seq	TADA2B,DHX35,FGFRL1
myQuery	15	0.1271	FOXA1_T47D_HG19	FOXA1	2	817	0.06691	1.0	5.451	ENCODE--ChIP-seq	CEP57,OPA3
myQuery	16	0.1356	MAZ_MELCELLLINE_MM9	MAZ	3	1766	0.06743	1.0	3.78	ENCODE--ChIP-seq	ARL14EP,OPA3,FGFRL1
myQuery	17	0.1441	GATA3_SHSY5Y_HG19	GATA3	3	1801	0.07045	1.0	3.706	ENCODE--ChIP-seq	GEN1,DHX35,OPA3
myQuery	18	0.1525	NRF1_HELAS3_HG19	NRF1	3	1810	0.07124	1.0	3.688	ENCODE--ChIP-seq	GEN1,TADA2B,OPA3
myQuery	19	0.161	USF2_MELCELLLINE_MM9	USF2	3	1814	0.07159	1.0	3.68	ENCODE--ChIP-seq	CEP57,DHX35,FGFRL1
myQuery	20	0.1695	RELA_GM19193_HG19	RELA	3	1820	0.07212	1.0	3.667	ENCODE--ChIP-seq	CEP57,DHX35,OPA3
myQuery	21	0.178	BHLHE40_HEPG2_HG19	BHLHE40	3	2060	0.09447	1.0	3.24	ENCODE--ChIP-seq	GEN1,CEP57,DHX35
myQuery	22	0.1864	SP2_K562_HG19	SP2	3	2063	0.09476	1.0	3.235	ENCODE--ChIP-seq	CEP57,TADA2B,OPA3
myQuery	23	0.1949	ZKSCAN1_MELCELLLINE_MM9	ZKSCAN1	1	204	0.09652	1.0	10.94	ENCODE--ChIP-seq	ARL14EP
myQuery	24	0.2034	NFIC_GM12878_HG19	NFIC	2	1061	0.1032	1.0	4.195	ENCODE--ChIP-seq	CEP57,DHX35
myQuery	25	0.2119	E2F4_HELAS3_HG19	E2F4	2	1071	0.1047	1.0	4.156	ENCODE--ChIP-seq	GEN1,CEP57
myQuery	26	0.2203	YY1_A549_HG19	YY1	2	1097	0.1089	1.0	4.057	ENCODE--ChIP-seq	DHX35,OPA3
myQuery	27	0.2288	GABPA_HEPG2_HG19	GABPA	3	2285	0.1174	1.0	2.92	ENCODE--ChIP-seq	GEN1,CEP57,OPA3
myQuery	28	0.2373	NFE2_K562_HG19	NFE2	1	258	0.1203	1.0	8.643	ENCODE--ChIP-seq	DHX35
myQuery	29	0.2458	HNF4A_HEPG2_HG19	HNF4A	3	2396	0.1293	1.0	2.785	ENCODE--ChIP-seq	MIGA2,DHX35,OPA3
myQuery	30	0.2542	NR2F2_K562_HG19	NR2F2	2	1270	0.1371	1.0	3.504	ENCODE--ChIP-seq	DHX35,OPA3
myQuery	31	0.2627	STAT1_K562_HG19	STAT1	1	321	0.1472	1.0	6.941	ENCODE--ChIP-seq	GEN1
myQuery	32	0.2712	CEBPB_A549_HG19	CEBPB	3	2605	0.1526	1.0	2.561	ENCODE--ChIP-seq	CEP57,OPA3,FGFRL1
myQuery	33	0.2797	NR2C2_K562_HG19	NR2C2	1	355	0.1614	1.0	6.275	ENCODE--ChIP-seq	DHX35
myQuery	34	0.2881	FOXP2_SKNMC_HG19	FOXP2	1	391	0.1761	1.0	5.695	ENCODE--ChIP-seq	OPA3
myQuery	35	0.2966	ATF2_GM12878_HG19	ATF2	2	1502	0.1766	1.0	2.962	ENCODE--ChIP-seq	DHX35,OPA3
myQuery	36	0.3051	MYC_HELAS3_HG19	MYC	3	2818	0.1773	1.0	2.367	ENCODE--ChIP-seq	CEP57,DHX35,OPA3
myQuery	37	0.3136	FOXM1_GM12878_HG19	FOXM1	2	1524	0.1804	1.0	2.919	ENCODE--ChIP-seq	GEN1,DHX35
myQuery	38	0.322	SREBF1_HEPG2_HG19	SREBF1	1	455	0.2015	1.0	4.893	ENCODE--ChIP-seq	TADA2B
myQuery	39	0.3305	ZNF384_CH12LX_MM9	ZNF384	2	1677	0.2072	1.0	2.652	ENCODE--ChIP-seq	CEP57,MIGA2
myQuery	40	0.339	TBP_MELCELLLINE_MM9	TBP	2	1687	0.2089	1.0	2.636	ENCODE--ChIP-seq	ARL14EP,OPA3
myQuery	41	0.3475	CREB1_K562_HG19	CREB1	2	1715	0.2138	1.0	2.593	ENCODE--ChIP-seq	CEP57,OPA3
myQuery	42	0.3559	JUN_HEPG2_HG19	JUN	2	1796	0.2281	1.0	2.476	ENCODE--ChIP-seq	CEP57,OPA3
myQuery	43	0.3644	TFAP2A_HELAS3_HG19	TFAP2A	2	1810	0.2306	1.0	2.457	ENCODE--ChIP-seq	CEP57,DHX35
myQuery	44	0.3729	TFAP2C_HELAS3_HG19	TFAP2C	2	1822	0.2327	1.0	2.441	ENCODE--ChIP-seq	CEP57,DHX35
myQuery	45	0.3814	ZNF143_K562_HG19	ZNF143	2	1826	0.2334	1.0	2.436	ENCODE--ChIP-seq	CEP57,OPA3
myQuery	46	0.3898	HMGN3_K562_HG19	HMGN3	2	1830	0.2341	1.0	2.43	ENCODE--ChIP-seq	DHX35,OPA3
myQuery	47	0.3983	FLI1_MEGAKARYOCYTE_MM9	FLI1	2	1837	0.2353	1.0	2.421	ENCODE--ChIP-seq	GEN1,TADA2B
myQuery	48	0.4068	GATA1_G1EER4_MM9	GATA1	3	3299	0.2356	1.0	2.022	ENCODE--ChIP-seq	CEP57,MIGA2,DHX35
myQuery	49	0.4153	MAFK_HELAS3_HG19	MAFK	2	1845	0.2367	1.0	2.41	ENCODE--ChIP-seq	GEN1,CEP57
myQuery	50	0.4237	ELF1_SKNSH_HG19	ELF1	2	1858	0.239	1.0	2.394	ENCODE--ChIP-seq	GEN1,OPA3
myQuery	51	0.4322	TEAD4_ECC1_HG19	TEAD4	2	1871	0.2413	1.0	2.377	ENCODE--ChIP-seq	LTBP2,FGFRL1
myQuery	52	0.4407	SPI1_GM12878_HG19	SPI1	2	1895	0.2455	1.0	2.347	ENCODE--ChIP-seq	GEN1,CEP57
myQuery	53	0.4492	PAX5_GM12878_HG19	PAX5	2	2072	0.2766	1.0	2.146	ENCODE--ChIP-seq	DHX35,OPA3
