Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
myQuery	1	0.008475	CTCF_OLFACTORYBULB_MM9	CTCF	5	1722	0.02627	1.0	3.423	ENCODE--ChIP-seq	B3GALNT1,AFAP1L2,CROT,IFIT2,TTLL4
myQuery	2	0.01695	CTCFL_K562_HG19	CTCFL	5	2154	0.05613	1.0	2.735	ENCODE--ChIP-seq	HDAC5,MIGA2,FIBCD1,TTLL4,TRIM58
myQuery	3	0.02542	ZBTB7A_ECC1_HG19	ZBTB7A	4	1753	0.08359	1.0	2.688	ENCODE--ChIP-seq	CROT,TMCO4,CNN1,TTLL4
myQuery	4	0.0339	MAX_C2C12_MM9	MAX	4	1780	0.08705	1.0	2.647	ENCODE--ChIP-seq	MIGA2,TSKU,TTLL4,TRMT5
myQuery	5	0.04237	NANOG_H1HESC_HG19	NANOG	1	102	0.08753	1.0	11.64	ENCODE--ChIP-seq	TSKU
myQuery	6	0.05085	BACH1_K562_HG19	BACH1	4	1814	0.09149	1.0	2.598	ENCODE--ChIP-seq	FIBCD1,CROT,TTLL4,TRIM58
myQuery	7	0.05932	HNF4G_HEPG2_HG19	HNF4G	2	556	0.09228	1.0	4.244	ENCODE--ChIP-seq	TSKU,TYMP
myQuery	8	0.0678	REST_HL60_HG19	REST	1	111	0.09486	1.0	10.69	ENCODE--ChIP-seq	TRMT5
myQuery	9	0.07627	GATA1_G1EER4_MM9	GATA1	6	3299	0.09576	1.0	2.142	ENCODE--ChIP-seq	MIGA2,FIBCD1,CROT,TMCO4,TTLL4,TRIM58
myQuery	10	0.08475	USF1_HCT116_HG19	USF1	3	1287	0.1169	1.0	2.746	ENCODE--ChIP-seq	HDAC5,MIGA2,TTLL4
myQuery	11	0.09322	FOXP2_PFSK1_HG19	FOXP2	1	152	0.1275	1.0	7.785	ENCODE--ChIP-seq	TSKU
