Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
myQuery	1	0.008475	ZNF263_K562_HG19	ZNF263	9	849	3.484E-4	0.137	4.648	ENCODE--ChIP-seq	MCM8,PIK3R3,PPOX,RREB1,SLC16A3,TSC22D4,INTS1,PPDPF,MAP7D1
myQuery	2	0.01695	FOXA2_A549_HG19	FOXA2	11	1276	4.97E-4	0.137	3.772	ENCODE--ChIP-seq	PPOX,SH3GL1,TSC22D4,EDN1,BRPF1,INTS1,GTF2H3,SREBF2,PPDPF,GNB2,ZNF598
myQuery	3	0.02542	MAZ_MELCELLLINE_MM9	MAZ	13	1766	7.436E-4	0.137	3.217	ENCODE--ChIP-seq	KDM5C,INPPL1,PIK3R3,FGFRL1,TAF5L,ZDHHC18,SNN,MARVELD1,BRPF1,NFKB2,PPDPF,GNB2,MAP3K11
myQuery	4	0.0339	BHLHE40_A549_HG19	BHLHE40	12	1842	0.002881	0.355	2.844	ENCODE--ChIP-seq	KDM5C,PIK3R3,PPOX,RPS6KA4,MARVELD1,KHSRP,TNKS1BP1,EDN1,GTF2H3,AIG1,TCN2,GNB2
myQuery	5	0.04237	EGR1_H1HESC_HG19	EGR1	8	971	0.003218	0.355	3.604	ENCODE--ChIP-seq	MCM8,SH3GL1,TSC22D4,INTS1,SREBF2,PABPC1L,ZNF598,MAP3K11
myQuery	6	0.05085	USF2_CH12LX_MM9	USF2	11	1719	0.004585	0.422	2.794	ENCODE--ChIP-seq	CRTC3,MCM8,SNN,KHSRP,SH3GL1,TSC22D4,CNTD1,SZT2,TCN2,GNB2,RABL6
myQuery	7	0.05932	RELA_GM12891_HG19	RELA	11	1852	0.007619	0.517	2.592	ENCODE--ChIP-seq	KDM5C,PIK3R3,CLPTM1,TNKS1BP1,RREB1,SH3GL1,TSC22D4,SREBF2,NFKB2,ZNF598,MAP3K11
myQuery	8	0.0678	CTCF_G1EER4_MM9	CTCF	12	2144	0.008676	0.517	2.442	ENCODE--ChIP-seq	CRTC3,THRA,INPPL1,PPOX,ZDHHC18,CLPTM1,SH3GL1,EDN1,INTS1,AP1B1,NFKB2,PPDPF
myQuery	9	0.07627	NR2C2_GM12878_HG19	NR2C2	5	546	0.01118	0.517	4.009	ENCODE--ChIP-seq	TAF5L,RREB1,SZT2,INTS1,MAP3K11
myQuery	10	0.08475	ZBTB7A_HEPG2_HG19	ZBTB7A	10	1735	0.01234	0.517	2.515	ENCODE--ChIP-seq	MCM8,RPS6KA4,MKNK2,RREB1,TSC22D4,INTS1,AP1B1,SREBF2,PABPC1L,MAP3K11
myQuery	11	0.09322	GATA1_MELCELLLINE_MM9	GATA1	13	2549	0.01317	0.517	2.224	ENCODE--ChIP-seq	CD81,PIK3R3,PPOX,SH3GL1,SZT2,BRPF1,INTS1,NFKB2,TCN2,PPDPF,GNB2,MAP3K11,RABL6
myQuery	12	0.1017	ZEB1_GM12878_HG19	ZEB1	6	803	0.0146	0.517	3.266	ENCODE--ChIP-seq	SLC16A3,TSC22D4,AP1B1,AIG1,NFKB2,PABPC1L
myQuery	13	0.1102	FOXA1_ECC1_HG19	FOXA1	4	395	0.01584	0.517	4.438	ENCODE--ChIP-seq	PIK3R3,INTS1,PPDPF,GNB2
myQuery	14	0.1186	TBP_H1HESC_HG19	TBP	10	1832	0.01705	0.517	2.381	ENCODE--ChIP-seq	CRTC3,CD81,INPPL1,RPS6KA4,TNKS1BP1,SZT2,INTS1,HPS6,GTF2H3,MAP7D1
myQuery	15	0.1271	RFX5_HELAS3_HG19	RFX5	10	1832	0.01705	0.517	2.381	ENCODE--ChIP-seq	KDM5C,MCM8,INPPL1,RPS6KA4,SLC16A3,SZT2,STARD8,AP1B1,GTF2H3,NFKB2
myQuery	16	0.1356	E2F4_K562_HG19	E2F4	10	1847	0.01788	0.517	2.361	ENCODE--ChIP-seq	MCM8,PIK3R3,PPOX,RPS6KA4,SH3GL1,TSC22D4,CNTD1,BRPF1,INTS1,AIG1
myQuery	17	0.1441	MYOD1_C2C12_MM9	MYOD1	6	860	0.01958	0.517	3.048	ENCODE--ChIP-seq	INPPL1,RPS6KA4,INTS1,HPS6,AIG1,SREBF2
myQuery	18	0.1525	CTCFL_K562_HG19	CTCFL	11	2154	0.01997	0.517	2.227	ENCODE--ChIP-seq	PPOX,MKNK2,RREB1,SH3GL1,BRPF1,INTS1,AP1B1,AIG1,NFKB2,PPDPF,ZNF598
myQuery	19	0.161	GABPA_H1HESC_HG19	GABPA	8	1359	0.02011	0.517	2.569	ENCODE--ChIP-seq	MCM8,SLC16A3,TSC22D4,SZT2,INTS1,AP1B1,HPS6,GTF2H3
myQuery	20	0.1695	THAP1_K562_HG19	THAP1	9	1627	0.02067	0.517	2.413	ENCODE--ChIP-seq	PPOX,TAF5L,KHSRP,SH3GL1,BRPF1,INTS1,AP1B1,GTF2H3,PABPC1L
myQuery	21	0.178	SP1_K562_HG19	SP1	7	1148	0.02375	0.517	2.661	ENCODE--ChIP-seq	PIK3R3,PPOX,KHSRP,BRPF1,SREBF2,NFKB2,MAP3K11
myQuery	22	0.1864	PBX3_A549_HG19	PBX3	10	1958	0.02496	0.517	2.227	ENCODE--ChIP-seq	KDM5C,MCM8,INPPL1,PPOX,EDN1,INTS1,SREBF2,NFKB2,GNB2,PABPC1L
myQuery	23	0.1949	USF1_A549_HG19	USF1	12	2523	0.02528	0.517	2.073	ENCODE--ChIP-seq	MCM8,PPOX,TAF5L,SNN,RREB1,SH3GL1,TSC22D4,INTS1,GTF2H3,TCN2,GNB2,ZNF598
myQuery	24	0.2034	MAX_MELCELLLINE_MM9	MAX	9	1728	0.02844	0.541	2.271	ENCODE--ChIP-seq	KDM5C,MCM8,RPS6KA4,SNN,KHSRP,SH3GL1,GTF2H3,TCN2,RABL6
myQuery	25	0.2119	JUND_GM12878_HG19	JUND	5	739	0.03457	0.571	2.955	ENCODE--ChIP-seq	PIK3R3,SREBF2,PPDPF,GNB2,MAP7D1
myQuery	26	0.2203	TFAP2A_HELAS3_HG19	TFAP2A	9	1810	0.03605	0.571	2.168	ENCODE--ChIP-seq	MCM8,PIK3R3,RPS6KA4,KHSRP,MKNK2,HPS6,NFKB2,MAP7D1,MAP3K11
myQuery	27	0.2288	ELK1_GM12878_HG19	ELK1	9	1851	0.04032	0.571	2.119	ENCODE--ChIP-seq	KDM5C,PIK3R3,MKNK2,SLC16A3,SH3GL1,TSC22D4,HPS6,NFKB2,PABPC1L
myQuery	28	0.2373	CREB1_HEPG2_HG19	CREB1	7	1325	0.04464	0.59	2.304	ENCODE--ChIP-seq	SH3GL1,SZT2,GTF2H3,SREBF2,PPDPF,GNB2,MAP3K11
myQuery	29	0.2458	MYC_K562_HG19	MYC	23	6224	0.04507	0.59	1.609	ENCODE--ChIP-seq	KDM5C,MCM8,PIK3R3,PPOX,TAF5L,RPS6KA4,ZDHHC18,KHSRP,MKNK2,SH3GL1,TSC22D4,BRPF1,INTS1,AP1B1,HPS6,GTF2H3,AIG1,SREBF2,TCN2,PPDPF,GNB2,MAP7D1,ZNF598
myQuery	30	0.2542	ETS1_MELCELLLINE_MM9	ETS1	8	1614	0.04593	0.59	2.161	ENCODE--ChIP-seq	THRA,PPOX,RREB1,SH3GL1,TSC22D4,SREBF2,TCN2,MAP3K11
myQuery	31	0.2627	FOXP2_PFSK1_HG19	FOXP2	2	152	0.05087	0.607	5.784	ENCODE--ChIP-seq	TSC22D4,SREBF2
myQuery	32	0.2712	JUN_K562_HG19	JUN	15	3802	0.05371	0.607	1.718	ENCODE--ChIP-seq	MCM8,PIK3R3,PPOX,TAF5L,MKNK2,SH3GL1,TSC22D4,INTS1,AP1B1,GTF2H3,AIG1,SREBF2,MAP7D1,ZNF598,MAP3K11
myQuery	33	0.2797	SP2_HEPG2_HG19	SP2	7	1388	0.05419	0.607	2.199	ENCODE--ChIP-seq	KHSRP,TNKS1BP1,SH3GL1,SZT2,INTS1,ZNF598,MAP3K11
myQuery	34	0.2881	TCF7L2_HELAS3_HG19	TCF7L2	11	2574	0.05494	0.607	1.862	ENCODE--ChIP-seq	KDM5C,MCM8,PIK3R3,PPOX,SLC16A3,EDN1,BRPF1,HPS6,NFKB2,PPDPF,MAP3K11
myQuery	35	0.2966	SREBF2_GM12878_HG19	SREBF2	3	366	0.05784	0.619	3.585	ENCODE--ChIP-seq	INTS1,GTF2H3,SREBF2
myQuery	36	0.3051	SREBF1_GM12878_HG19	SREBF1	6	1133	0.05856	0.619	2.309	ENCODE--ChIP-seq	PIK3R3,INTS1,SREBF2,GNB2,MAP7D1,MAP3K11
myQuery	37	0.3136	MXI1_CH12LX_MM9	MXI1	8	1721	0.06116	0.619	2.026	ENCODE--ChIP-seq	THRA,FGFRL1,RPS6KA4,CLPTM1,INTS1,GTF2H3,TCN2,PPDPF
myQuery	38	0.322	SRF_ECC1_HG19	SRF	7	1461	0.06669	0.619	2.088	ENCODE--ChIP-seq	MCM8,PIK3R3,TAF5L,INTS1,HPS6,GTF2H3,PABPC1L
myQuery	39	0.3305	E2F6_HELAS3_HG19	E2F6	5	922	0.07303	0.619	2.365	ENCODE--ChIP-seq	PIK3R3,KHSRP,SH3GL1,CNTD1,ZNF598
myQuery	40	0.339	ELF1_K562_HG19	ELF1	6	1216	0.07575	0.619	2.151	ENCODE--ChIP-seq	RPS6KA4,SZT2,INTS1,AP1B1,GNB2,MAP3K11
myQuery	41	0.3475	BACH1_K562_HG19	BACH1	8	1814	0.0766	0.619	1.922	ENCODE--ChIP-seq	KDM5C,PIK3R3,RPS6KA4,SH3GL1,CNTD1,BRPF1,GTF2H3,ZNF598
myQuery	42	0.3559	TFAP2C_HELAS3_HG19	TFAP2C	8	1822	0.07803	0.619	1.913	ENCODE--ChIP-seq	MCM8,RPS6KA4,AP1B1,HPS6,SREBF2,NFKB2,MAP7D1,MAP3K11
myQuery	43	0.3644	TAL1_K562_HG19	TAL1	8	1825	0.07857	0.619	1.91	ENCODE--ChIP-seq	KDM5C,CD81,MCM8,MKNK2,TSC22D4,EDN1,CNTD1,GTF2H3
myQuery	44	0.3729	HMGN3_K562_HG19	HMGN3	8	1830	0.07947	0.619	1.905	ENCODE--ChIP-seq	RPS6KA4,SZT2,INTS1,AIG1,TCN2,PPDPF,GNB2,ZNF598
myQuery	45	0.3814	RUNX3_GM12878_HG19	RUNX3	7	1540	0.08196	0.619	1.981	ENCODE--ChIP-seq	SLC16A3,SH3GL1,TSC22D4,GTF2H3,PPDPF,MAP7D1,PABPC1L
