Query Name,Rank,Scaled Rank,Set_name,TF,Intersect,Set length,FET p-value,FDR,Odds Ratio,Library,Overlapping_Genes
myQuery,1,0.008475,TEAD4_ECC1_HG19,TEAD4,5,1871,0.001356,0.451,8.929,ENCODE--ChIP-seq,"SMAD3,STAT1,MYC,STAT3,FOXM1"
myQuery,2,0.01695,JUND_MCF7_HG19,JUND,2,224,0.003273,0.451,30.02,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,3,0.02542,STAT2_K562_HG19,STAT2,2,252,0.00411,0.451,26.66,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,4,0.0339,MYOG_C2C12_MM9,MYOG,2,269,0.004661,0.451,24.96,ENCODE--ChIP-seq,"MYC,FOXM1"
myQuery,5,0.04237,RXRA_GM12878_HG19,RXRA,2,292,0.005457,0.451,22.98,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,6,0.05085,E2F4_CH12LX_MM9,E2F4,4,1737,0.005764,0.451,7.691,ENCODE--ChIP-seq,"STAT1,MYC,STAT3,FOXM1"
myQuery,7,0.05932,STAT3_HELAS3_HG19,STAT3,4,1780,0.006249,0.451,7.505,ENCODE--ChIP-seq,"SMAD3,STAT1,MYC,STAT3"
myQuery,8,0.0678,STAT1_K562_HG19,STAT1,2,321,0.00654,0.451,20.89,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,9,0.07627,CEBPB_C2C12_MM9,CEBPB,3,1285,0.01401,0.775,7.798,ENCODE--ChIP-seq,"STAT1,MYC,STAT3"
myQuery,10,0.08475,PRDM1_HELAS3_HG19,PRDM1,3,1487,0.02026,0.775,6.737,ENCODE--ChIP-seq,"STAT1,MYC,STAT3"
myQuery,11,0.09322,MAFK_CH12LX_MM9,MAFK,3,1616,0.02489,0.775,6.198,ENCODE--ChIP-seq,"SMAD3,STAT1,STAT3"
myQuery,12,0.1017,ZBTB7A_HEPG2_HG19,ZBTB7A,3,1735,0.02959,0.775,5.772,ENCODE--ChIP-seq,"STAT1,MYC,STAT3"
myQuery,13,0.1102,ATF3_A549_HG19,ATF3,3,1810,0.03277,0.775,5.532,ENCODE--ChIP-seq,"SMAD3,MYC,STAT3"
myQuery,14,0.1186,CTCF_BCELL_HG19,CTCF,3,1821,0.03324,0.775,5.499,ENCODE--ChIP-seq,"STAT1,MYC,STAT3"
myQuery,15,0.1271,PBX3_SKNSH_HG19,PBX3,3,1919,0.03766,0.775,5.218,ENCODE--ChIP-seq,"SMAD3,MYC,STAT3"
myQuery,16,0.1356,ZNF263_K562_HG19,ZNF263,2,849,0.03939,0.775,7.869,ENCODE--ChIP-seq,"SMAD3,MYC"
myQuery,17,0.1441,MYOD1_C2C12_MM9,MYOD1,2,860,0.04029,0.775,7.768,ENCODE--ChIP-seq,"MYC,FOXM1"
myQuery,18,0.1525,USF1_GM12878_HG19,USF1,3,1990,0.04102,0.775,5.031,ENCODE--ChIP-seq,"STAT1,STAT3,FOXM1"
myQuery,19,0.161,EGR1_ECC1_HG19,EGR1,3,2158,0.0495,0.775,4.639,ENCODE--ChIP-seq,"SMAD3,STAT1,FOXM1"
myQuery,20,0.1695,ZBTB33_HCT116_HG19,ZBTB33,2,993,0.05176,0.775,6.725,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,21,0.178,BCL11A_GM12878_HG19,BCL11A,2,1038,0.05586,0.775,6.433,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,22,0.1864,REST_HELAS3_HG19,REST,2,1107,0.06233,0.775,6.031,ENCODE--ChIP-seq,"STAT1,MYC"
myQuery,23,0.1949,E2F6_K562_HG19,E2F6,3,2432,0.06483,0.775,4.116,ENCODE--ChIP-seq,"SMAD3,STAT3,FOXM1"
myQuery,24,0.2034,FOXA2_A549_HG19,FOXA2,2,1276,0.07907,0.775,5.231,ENCODE--ChIP-seq,"STAT1,MYC"
myQuery,25,0.2119,JUN_CH12LX_MM9,JUN,2,1325,0.08413,0.775,5.038,ENCODE--ChIP-seq,"STAT3,SMAD9"
myQuery,26,0.2203,MAX_ECC1_HG19,MAX,2,1425,0.09471,0.775,4.684,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,27,0.2288,SRF_ECC1_HG19,SRF,2,1461,0.09859,0.775,4.568,ENCODE--ChIP-seq,"MYC,STAT3"
myQuery,28,0.2373,ETS1_MELCELLLINE_MM9,ETS1,2,1614,0.1155,0.775,4.134,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,29,0.2458,ZNF384_CH12LX_MM9,ZNF384,2,1677,0.1226,0.775,3.979,ENCODE--ChIP-seq,"STAT1,MYC"
myQuery,30,0.2542,GATA1_ERYTHROBLAST_MM9,GATA1,2,1682,0.1232,0.775,3.967,ENCODE--ChIP-seq,"SMAD3,STAT3"
myQuery,31,0.2627,TCF3_MYOCYTE_MM9,TCF3,2,1708,0.1262,0.775,3.907,ENCODE--ChIP-seq,"SMAD3,FOXM1"
myQuery,32,0.2712,USF2_CH12LX_MM9,USF2,2,1719,0.1274,0.775,3.882,ENCODE--ChIP-seq,"STAT3,FOXM1"
myQuery,33,0.2797,PAX5_GM12892_HG19,PAX5,1,404,0.1307,0.775,8.269,ENCODE--ChIP-seq,STAT1
myQuery,34,0.2881,ATF2_H1HESC_HG19,ATF2,2,1749,0.1309,0.775,3.815,ENCODE--ChIP-seq,"STAT1,MYC"
myQuery,35,0.2966,CBX2_K562_HG19,CBX2,2,1781,0.1346,0.775,3.746,ENCODE--ChIP-seq,"SMAD3,SMAD9"
myQuery,36,0.3051,BACH1_K562_HG19,BACH1,2,1814,0.1384,0.775,3.678,ENCODE--ChIP-seq,"STAT1,MYC"
myQuery,37,0.3136,RELA_GM18951_HG19,RELA,2,1815,0.1385,0.775,3.676,ENCODE--ChIP-seq,"STAT1,FOXM1"
myQuery,38,0.322,TCF7L2_HEK293_HG19,TCF7L2,2,1821,0.1392,0.775,3.664,ENCODE--ChIP-seq,"SMAD3,MYC"
myQuery,39,0.3305,ELK4_HEK293_HG19,ELK4,2,1822,0.1393,0.775,3.662,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,40,0.339,HMGN3_K562_HG19,HMGN3,2,1830,0.1403,0.775,3.646,ENCODE--ChIP-seq,"SMAD9,FOXM1"
myQuery,41,0.3475,BHLHE40_K562_HG19,BHLHE40,2,1836,0.141,0.775,3.634,ENCODE--ChIP-seq,"STAT1,FOXM1"
myQuery,42,0.3559,FLI1_MEGAKARYOCYTE_MM9,FLI1,2,1837,0.1411,0.775,3.632,ENCODE--ChIP-seq,"MYC,FOXM1"
myQuery,43,0.3644,MYC_A549_HG19,MYC,2,1839,0.1413,0.775,3.628,ENCODE--ChIP-seq,"SMAD3,STAT3"
myQuery,44,0.3729,YY1_GM12878_HG19,YY1,2,1849,0.1425,0.775,3.608,ENCODE--ChIP-seq,"STAT1,FOXM1"
myQuery,45,0.3814,RFX5_HEPG2_HG19,RFX5,2,1851,0.1427,0.775,3.604,ENCODE--ChIP-seq,"STAT1,SMAD9"
myQuery,46,0.3898,NFE2_GM12878_HG19,NFE2,2,1854,0.1431,0.775,3.599,ENCODE--ChIP-seq,"STAT1,FOXM1"
myQuery,47,0.3983,NFYA_GM12878_HG19,NFYA,2,1873,0.1453,0.775,3.562,ENCODE--ChIP-seq,"STAT1,STAT3"
myQuery,48,0.4068,GATA3_MCF7_HG19,GATA3,2,1890,0.1473,0.775,3.53,ENCODE--ChIP-seq,"STAT1,MYC"
