Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"ZBTB33_GM12878_HG19"	"ZBTB33"	"2"	"1332"	"0.02148"	"1.0"	"15.04"	"ENCODE--ChIP-seq"	"NUS1,AFG3L1P"
"gene_set_query"	"2"	"0.01695"	"CREB1_K562_HG19"	"CREB1"	"2"	"1715"	"0.03359"	"1.0"	"11.67"	"ENCODE--ChIP-seq"	"NUS1,AFG3L1P"
"gene_set_query"	"3"	"0.02542"	"CTCF_GM13976_HG19"	"CTCF"	"2"	"1820"	"0.03723"	"1.0"	"11.0"	"ENCODE--ChIP-seq"	"NUS1,AFG3L1P"
"gene_set_query"	"4"	"0.0339"	"MYOG_MYOCYTE_MM9"	"MYOG"	"2"	"3208"	"0.09459"	"1.0"	"6.238"	"ENCODE--ChIP-seq"	"NUS1,AFG3L1P"
"gene_set_query"	"5"	"0.04237"	"ZBTB7A_K562_HG19"	"ZBTB7A"	"1"	"788"	"0.1095"	"1.0"	"12.71"	"ENCODE--ChIP-seq"	"NUS1"
"gene_set_query"	"6"	"0.05085"	"YY1_HEPG2_HG19"	"YY1"	"1"	"849"	"0.1173"	"1.0"	"11.79"	"ENCODE--ChIP-seq"	"NUS1"
"gene_set_query"	"7"	"0.05932"	"ESRRA_GM12878_HG19"	"ESRRA"	"1"	"934"	"0.128"	"1.0"	"10.72"	"ENCODE--ChIP-seq"	"NUS1"
"gene_set_query"	"8"	"0.0678"	"EGR1_H1HESC_HG19"	"EGR1"	"1"	"971"	"0.1326"	"1.0"	"10.31"	"ENCODE--ChIP-seq"	"NUS1"
"gene_set_query"	"9"	"0.07627"	"ELF1_GM12878_HG19"	"ELF1"	"1"	"1061"	"0.1437"	"1.0"	"9.433"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"10"	"0.08475"	"JUND_CH12LX_MM9"	"JUND"	"1"	"1148"	"0.1542"	"1.0"	"8.718"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"11"	"0.09322"	"TCF12_ECC1_HG19"	"TCF12"	"1"	"1198"	"0.1601"	"1.0"	"8.353"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"12"	"0.1017"	"TEAD4_K562_HG19"	"TEAD4"	"1"	"1245"	"0.1657"	"1.0"	"8.038"	"ENCODE--ChIP-seq"	"NUS1"
"gene_set_query"	"13"	"0.1102"	"ATF3_GM12878_HG19"	"ATF3"	"1"	"1278"	"0.1696"	"1.0"	"7.83"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"14"	"0.1186"	"USF1_HCT116_HG19"	"USF1"	"1"	"1287"	"0.1706"	"1.0"	"7.775"	"ENCODE--ChIP-seq"	"NUS1"
"gene_set_query"	"15"	"0.1271"	"JUN_CH12LX_MM9"	"JUN"	"1"	"1325"	"0.1751"	"1.0"	"7.552"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"16"	"0.1356"	"E2F6_A549_HG19"	"E2F6"	"1"	"1357"	"0.1788"	"1.0"	"7.374"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"17"	"0.1441"	"SP2_HEPG2_HG19"	"SP2"	"1"	"1388"	"0.1823"	"1.0"	"7.209"	"ENCODE--ChIP-seq"	"NUS1"
"gene_set_query"	"18"	"0.1525"	"REST_A549_HG19"	"REST"	"1"	"1406"	"0.1844"	"1.0"	"7.117"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"19"	"0.161"	"SRF_ECC1_HG19"	"SRF"	"1"	"1461"	"0.1907"	"1.0"	"6.849"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"20"	"0.1695"	"MYBL2_HEPG2_HG19"	"MYBL2"	"1"	"1487"	"0.1936"	"1.0"	"6.729"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"21"	"0.178"	"THAP1_K562_HG19"	"THAP1"	"1"	"1627"	"0.2091"	"1.0"	"6.149"	"ENCODE--ChIP-seq"	"AFG3L1P"
"gene_set_query"	"22"	"0.1864"	"MBD4_HEPG2_HG19"	"MBD4"	"1"	"1672"	"0.2141"	"1.0"	"5.984"	"ENCODE--ChIP-seq"	"NUS1"
