,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
9236,ENSG00000186472,6.3612780690539,-1.59987595793148,0.40606128756044,-3.93998641816686,8.14862223264422e-05,0.0131182370993992,PCLO
3184,ENSG00000117479,6.08193175667116,-1.48915628975135,0.417338323173185,-3.56822320660302,0.0003594102697816,0.0336799608779689,SLC19A2
8216,ENSG00000173442,7.07245278557002,-1.32365642893681,0.343662033838037,-3.85162252039928,0.0001173377984235,0.0154614379614375,EHBP1L1
3141,ENSG00000116991,12.2739087680509,-1.29493112298752,0.308424768616802,-4.19853155372351,2.68651423492651e-05,0.0060240284371378,SIPA1L2
4898,ENSG00000137752,7.52588714555474,-1.24048464621066,0.358217263705686,-3.46293931615159,0.0005343088848083,0.0437916540076315,CASP1
4068,ENSG00000130052,11.2093372625387,-1.18327837290176,0.284359753369766,-4.16120199458425,3.16576912254541e-05,0.0065168135855414,STARD8
10091,ENSG00000206417,11.633073854597,-1.104589088818,0.264709144850768,-4.17284068308529,3.0082530003878e-05,0.0065128677458395,
1332,ENSG00000090924,13.8683975307733,-0.983694717273213,0.262741187855174,-3.74396844782264,0.0001811364097728,0.0204912603379985,PLEKHG2
2119,ENSG00000105287,40.116817846695,-0.931034526274098,0.179835419447281,-5.17714768945742,2.25303859996759e-07,0.0001562782233348,PRKD2
9195,ENSG00000186017,15.0570962201072,-0.902037864293531,0.265230804495749,-3.40095437258302,0.0006715103511555,0.0491198164651302,ZNF566
2077,ENSG00000104951,22.5229677957925,-0.839150069744776,0.225644787370807,-3.71889853748663,0.0002000933994105,0.0214653434979447,IL4I1
6692,ENSG00000160803,17.3902559086474,-0.805255346632119,0.223680291087772,-3.6000281594597,0.0003181827204062,0.0307340032318603,UBQLN4
4699,ENSG00000136104,24.6262881813937,-0.675619028492578,0.197617528642237,-3.41882136232817,0.000628930017125,0.0481553306404835,RNASEH2B
5901,ENSG00000149115,47.1526320592337,-0.656115166270183,0.135744032417739,-4.83347337326072,1.34171231987788e-06,0.0005615960533568,TNKS1BP1
5323,ENSG00000141985,61.9696265772773,-0.630165592137736,0.13194317156692,-4.77603793098247,1.78782684102803e-06,0.0007241852142835,SH3GL1
9180,ENSG00000185880,43.8333877479805,-0.548835563132219,0.161123634766543,-3.4063007821754,0.0006584958862838,0.0486396049650974,TRIM69
9237,ENSG00000186480,209.694292940654,-0.521133091347999,0.0693983046803338,-7.50930579282117,5.94417291375891e-14,3.73204896390353e-10,INSIG1
