Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"MAX_ENDOTHELIALCELLOFUMBILICALVEIN_HG19"	"MAX"	"29"	"1825"	"2.413E-7"	"1.33E-4"	"3.419"	"ENCODE--ChIP-seq"	"GOLT1B,TMEM97,GABPB1,EPRS,CNDP2,CDC20,NUDCD3,HADH,SLC37A4,HOXA5,SLC25A46,ATP6V0B,TEX10,RRAGA,MTHFD2,KIF20A,RELB,NRAS,PHKG2,SMNDC1,HSPA8,TIPARP,PLK1,RPA1,CNOT4,RPIA,CDK7,PSMG1,RAD9A"
"gene_set_query"	"2"	"0.01695"	"RELA_GM18526_HG19"	"RELA"	"15"	"769"	"1.174E-5"	"0.0025"	"4.213"	"ENCODE--ChIP-seq"	"ARID4B,EPRS,ICAM1,NUSAP1,TICAM1,NPC1,MTF2,RELB,CRYZ,NRAS,HSPA8,GADD45B,TIPARP,NFKB2,NFKBIE"
"gene_set_query"	"3"	"0.02542"	"E2F4_HELAS3_HG19"	"E2F4"	"18"	"1071"	"1.357E-5"	"0.0025"	"3.62"	"ENCODE--ChIP-seq"	"GOLT1B,TMEM97,CXCL2,CDC20,TUBB6,NUSAP1,PHGDH,HADH,CDC25A,MTF2,KIF20A,HSPA8,PLK1,RPA1,CNOT4,NET1,RAD9A,EZH2"
"gene_set_query"	"4"	"0.0339"	"USF1_ECC1_HG19"	"USF1"	"27"	"2113"	"2.29E-5"	"0.00316"	"2.741"	"ENCODE--ChIP-seq"	"CHIC2,TMEM97,GABPB1,CNDP2,SENP6,NUDCD3,HADH,SLC37A4,HOXA5,SLC25A46,ATP6V0B,TEX10,CDC25B,MTHFD2,RELB,NRAS,PHKG2,EIF4EBP1,SMNDC1,GADD45B,BNIP3,PLK1,RPA1,CNOT4,RPIA,CDK7,RAD9A"
"gene_set_query"	"5"	"0.04237"	"BACH1_K562_HG19"	"BACH1"	"24"	"1814"	"3.352E-5"	"0.0037"	"2.839"	"ENCODE--ChIP-seq"	"KDM5A,KDM5B,TMEM97,CXCL2,ICAM1,RGS2,NUSAP1,HADH,ATP6V0B,DNTTIP2,FOS,TICAM1,CLPX,CDC25B,NPC1,GLRX,POLR2K,HSPA8,GADD45B,TIPARP,ECD,PLK1,CNOT4,STUB1"
"gene_set_query"	"6"	"0.05085"	"MBD4_HEPG2_HG19"	"MBD4"	"22"	"1672"	"6.919E-5"	"0.00599"	"2.824"	"ENCODE--ChIP-seq"	"KDM5A,GABPB1,EPRS,PIP4K2B,SACM1L,DNTTIP2,FOS,RRAGA,MTF2,TERF2IP,KIF20A,ARPP19,CRYZ,NRAS,KIAA0753,POLR2K,HSPA8,GADD45B,GADD45A,TIPARP,RPIA,CDK7"
"gene_set_query"	"7"	"0.05932"	"USF2_K562_HG19"	"USF2"	"23"	"1824"	"9.094E-5"	"0.00599"	"2.704"	"ENCODE--ChIP-seq"	"TRAM2,ICAM1,CNDP2,NUDCD3,HADH,SLC25A46,ATP6V0B,TEX10,FOS,CDC25B,MTHFD2,RELB,NRAS,PHKG2,SMNDC1,EGR1,TIPARP,RPA1,CNOT4,RPIA,CDK7,CDK2,RAD9A"
"gene_set_query"	"8"	"0.0678"	"PBX3_A549_HG19"	"PBX3"	"24"	"1958"	"1.012E-4"	"0.00599"	"2.628"	"ENCODE--ChIP-seq"	"KDM5A,KDM5B,GOLT1B,GABPB1,PIP4K2B,ATP6V0B,FOS,CDC25A,CLPX,MTHFD2,MTF2,RELB,KIAA0753,EIF4EBP1,MPZL1,HSPA8,GADD45B,PLK1,RPA1,NFKB2,DERA,RPIA,RAD9A,EZH2"
"gene_set_query"	"9"	"0.07627"	"MYBL2_HEPG2_HG19"	"MYBL2"	"20"	"1487"	"1.014E-4"	"0.00599"	"2.887"	"ENCODE--ChIP-seq"	"KDM5A,KDM5B,EPRS,TRAM2,CDC20,NUDCD3,NUSAP1,SLC37A4,TEX10,DNTTIP2,FOS,KIF20A,ARPP19,KIAA0753,SMNDC1,GADD45B,GADD45A,TIPARP,ECD,CDK7"
"gene_set_query"	"10"	"0.08475"	"SP1_H1HESC_HG19"	"SP1"	"21"	"1611"	"1.085E-4"	"0.00599"	"2.797"	"ENCODE--ChIP-seq"	"KDM5B,GOLT1B,CCNH,TMEM97,EPRS,LOXL1,CDC20,NUSAP1,PIP4K2B,SLC37A4,NCOA3,MTHFD2,PHKG2,IARS2,POLR2K,MPZL1,TFAP2A,GADD45A,NET1,RPIA,EZH2"
"gene_set_query"	"11"	"0.09322"	"TCF7L2_HCT116_HG19"	"TCF7L2"	"22"	"1832"	"2.33E-4"	"0.0114"	"2.574"	"ENCODE--ChIP-seq"	"KDM5A,CHIC2,PRSS23,TRAM2,NCOA3,SACM1L,DNTTIP2,CDC25A,RRAGA,NPC1,MTHFD2,MTF2,ARPP19,PHKG2,KIAA0753,TP53BP2,POLR2K,GADD45A,TIPARP,PLK1,NFKB2,CDK7"
"gene_set_query"	"12"	"0.1017"	"RFX5_K562_HG19"	"RFX5"	"22"	"1844"	"2.535E-4"	"0.0114"	"2.557"	"ENCODE--ChIP-seq"	"GOLT1B,CCNH,TMEM97,CXCL2,CNDP2,RGS2,NUDCD3,NUSAP1,HADH,ATP6V0B,NCOA3,DNTTIP2,FOS,TICAM1,MTHFD2,MTF2,POLR2K,EGR1,ECD,PLK1,NFKB2,RPIA"
"gene_set_query"	"13"	"0.1102"	"NFYB_HELAS3_HG19"	"NFYB"	"22"	"1852"	"2.68E-4"	"0.0114"	"2.546"	"ENCODE--ChIP-seq"	"ARID4B,LIPA,CNDP2,CDC20,RGS2,NUSAP1,PHGDH,HADH,HOXA5,SACM1L,GLRX,PHKG2,SMNDC1,HSPA8,GADD45B,GADD45A,PLK1,RPA1,NFKB2,CDK2,RAD9A,EZH2"
"gene_set_query"	"14"	"0.1186"	"NFATC1_GM12878_HG19"	"NFATC1"	"18"	"1407"	"3.613E-4"	"0.0114"	"2.744"	"ENCODE--ChIP-seq"	"KDM5A,GABPB1,EPRS,NUSAP1,PIP4K2B,SLC25A46,NCOA3,TEX10,SACM1L,DNTTIP2,TICAM1,RRAGA,MTF2,TIPARP,ECD,PLK1,NFKB2,CNOT4"
"gene_set_query"	"15"	"0.1271"	"NFIC_GM12878_HG19"	"NFIC"	"15"	"1061"	"3.701E-4"	"0.0114"	"3.037"	"ENCODE--ChIP-seq"	"EPRS,ICAM1,NUSAP1,PIP4K2B,NCOA3,DNTTIP2,FOS,TICAM1,RRAGA,MTF2,TERF2IP,CRYZ,TIPARP,ECD,CDK7"
