"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000000003",136.499222535097,0.21079615329169,0.0939341438992861,2.24408446749353,0.0248269671418828,0.485966770435738,"TSPAN6"
"ENSG00000000419",213.687951309002,0.0911460717437752,0.135368179138157,0.673319773702146,0.500743875542364,0.910495420730098,"DPM1"
"ENSG00000000457",24.9027847093094,0.0795367829491337,0.223877981462444,0.355268447703402,0.722388490767827,0.9614859087385,"SCYL3"
"ENSG00000000460",68.4802049004467,0.157202659715506,0.132422618643363,1.18712846284122,0.235176952859804,0.79549226772232,"FIRRM"
"ENSG00000001036",243.710812278295,-0.047248282044552,0.0772768783759638,-0.611415510531908,0.540924536849597,0.918926578559264,"FUCA2"
"ENSG00000001084",49.0557535049386,0.209533134391394,0.159355833302019,1.31487583510217,0.188551635313635,0.759149647459315,"GCLC"
"ENSG00000001167",72.4594989471555,0.0355257608038652,0.13029055597311,0.272665662822078,0.785110231940129,0.969199998366841,"NFYA"
"ENSG00000001460",20.1429309346342,-0.139566333638837,0.275762697489717,-0.506110271292374,0.612779240409038,0.939683986940824,"STPG1"
"ENSG00000001461",128.408252050014,0.0869853543819482,0.100447483288016,0.865978435044831,0.386501987895278,0.871704671555003,"NIPAL3"
"ENSG00000001497",192.043493062051,0.043392762722493,0.083462999342009,0.519904185861823,0.603130357777028,0.93798393517922,"LAS1L"
"ENSG00000001561",33.4458674846539,-0.0556840676666074,0.17026543275623,-0.327042704823888,0.743635585800741,0.964065761615243,"ENPP4"
"ENSG00000001617",6.24610911222036,0.34350554575968,0.411776901687141,0.834203046242424,0.404166574850189,0.877757847121047,"SEMA3F"
"ENSG00000001629",28.409197595516,-0.13108875280485,0.205856896042197,-0.636795537701976,0.524258033089046,0.915443027119146,"ANKIB1"
"ENSG00000001630",4.08790929694894,0.348588759129721,0.52453221332137,0.664570736127787,0.506325091749729,0.912425624404821,"CYP51A1"
"ENSG00000001631",7.10705909507253,0.496887182729087,0.432056475817345,1.15005146442742,0.250122675117245,0.805571370641812,"KRIT1"
"ENSG00000002016",10.3446151661365,0.17894803041671,0.34386040805732,0.520408939859342,0.602778580446526,0.93798393517922,"RAD52"
"ENSG00000002330",84.0287824019511,0.178370285668374,0.128075339097716,1.39269813318461,0.163711093375481,0.739530308555584,"BAD"
"ENSG00000002549",432.577108585527,-0.116167777924632,0.0593084838419227,-1.95870422576067,0.0501474352806099,0.561456148935513,"LAP3"
"ENSG00000002834",251.766046537016,-0.1484253466049,0.0723938347602615,-2.05024843754201,0.0403401934458595,0.538380670784397,"LASP1"
"ENSG00000002919",117.070804136573,0.159371698581492,0.103319650106226,1.54251101719409,0.122949462792126,0.698919619142195,"SNX11"
"ENSG00000003056",371.692990721316,-0.0241161513147368,0.0665218213842491,-0.362529930974604,0.716956060839007,0.960527347485027,"M6PR"
"ENSG00000003249",49.3593299729135,-0.153847210676956,0.177447888877336,-0.866999385849586,0.385942346197153,0.87126196998877,"DBNDD1"
"ENSG00000003393",68.6703189584233,-0.15923740768176,0.142148112251352,-1.120221754336,0.262619275805927,0.813742963735132,"ALS2"
"ENSG00000003402",81.6009718223205,-0.0208052758256258,0.122957598767681,-0.169206913880416,0.865633891717288,0.98229302038316,"CFLAR"
"ENSG00000003436",107.26286602102,-0.122307015294756,0.108056388748644,-1.13188138814505,0.257684304445566,0.810457889457974,"TFPI"
"ENSG00000003509",45.991446195379,-0.19426777128996,0.174263055707368,-1.11479607941792,0.264937816933263,0.815130211058924,"NDUFAF7"
"ENSG00000003756",65.359826551802,-0.0164595240534801,0.128887431642948,-0.12770464771986,0.898382711863977,0.988490431763185,"RBM5"
"ENSG00000003987",6.826749934438,0.143220482855323,0.40911869656749,0.350070735111703,0.726285612970216,0.961583463450564,"MTMR7"
"ENSG00000003989",6.93811474156719,0.132435461680568,0.475972190131769,0.278242015870515,0.780826583745805,0.969005568899655,"SLC7A2"
"ENSG00000004059",91.296988428323,-0.141349090476466,0.111382831870467,-1.26903839759477,0.204427369496954,0.774241729938089,"ARF5"
"ENSG00000004139",51.7446220363005,-0.26420817369892,0.16241009003591,-1.62679654718806,0.103780315214569,0.675951309642552,"SARM1"
"ENSG00000004142",438.015468619241,0.0319060259650569,0.0593203403189369,0.537859793007146,0.590673848322564,0.932956631697373,"POLDIP2"
