Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"MAZ_HELAS3_HG19"	"MAZ"	"4"	"1825"	"0.01886"	"1.0"	"4.879"	"ENCODE--ChIP-seq"	"STARD8,EHBP1L1,SLC19A2,TXNDC5"
"gene_set_query"	"2"	"0.01695"	"E2F6_A549_HG19"	"E2F6"	"3"	"1357"	"0.03655"	"1.0"	"4.921"	"ENCODE--ChIP-seq"	"PCLO,STARD8,STXBP6"
"gene_set_query"	"3"	"0.02542"	"HNF4A_HEPG2_HG19"	"HNF4A"	"4"	"2396"	"0.0424"	"1.0"	"3.714"	"ENCODE--ChIP-seq"	"PCLO,STXBP6,SLC19A2,TXNDC5"
"gene_set_query"	"4"	"0.0339"	"GATA1_K562_HG19"	"GATA1"	"2"	"660"	"0.0463"	"1.0"	"6.751"	"ENCODE--ChIP-seq"	"EHBP1L1,STXBP6"
"gene_set_query"	"5"	"0.04237"	"EGR1_MCF7_HG19"	"EGR1"	"2"	"672"	"0.04778"	"1.0"	"6.631"	"ENCODE--ChIP-seq"	"PCLO,PABPC1L"
"gene_set_query"	"6"	"0.05085"	"CTCF_TESTIS_MM9"	"CTCF"	"3"	"1738"	"0.06505"	"1.0"	"3.841"	"ENCODE--ChIP-seq"	"EHBP1L1,SIPA1L2,SLC19A2"
"gene_set_query"	"7"	"0.05932"	"FOXP2_PFSK1_HG19"	"FOXP2"	"1"	"152"	"0.07293"	"1.0"	"14.71"	"ENCODE--ChIP-seq"	"EHBP1L1"
"gene_set_query"	"8"	"0.0678"	"MYOD1_C2C12_MM9"	"MYOD1"	"2"	"860"	"0.07297"	"1.0"	"5.178"	"ENCODE--ChIP-seq"	"EHBP1L1,TXNDC5"
"gene_set_query"	"9"	"0.07627"	"GATA2_K562_HG19"	"GATA2"	"2"	"869"	"0.07425"	"1.0"	"5.124"	"ENCODE--ChIP-seq"	"EHBP1L1,STXBP6"
"gene_set_query"	"10"	"0.08475"	"NR3C1_ECC1_HG19"	"NR3C1"	"1"	"204"	"0.09652"	"1.0"	"10.94"	"ENCODE--ChIP-seq"	"SLC19A2"
"gene_set_query"	"11"	"0.09322"	"JUND_CH12LX_MM9"	"JUND"	"2"	"1148"	"0.117"	"1.0"	"3.876"	"ENCODE--ChIP-seq"	"EHBP1L1,CASP1"
"gene_set_query"	"12"	"0.1017"	"MAX_ECC1_HG19"	"MAX"	"2"	"1425"	"0.1633"	"1.0"	"3.122"	"ENCODE--ChIP-seq"	"PCLO,STARD8"
"gene_set_query"	"13"	"0.1102"	"USF1_HEPG2_HG19"	"USF1"	"2"	"1442"	"0.1663"	"1.0"	"3.085"	"ENCODE--ChIP-seq"	"PCLO,SLC19A2"
"gene_set_query"	"14"	"0.1186"	"SRF_MYOCYTE_MM9"	"SRF"	"2"	"1467"	"0.1706"	"1.0"	"3.032"	"ENCODE--ChIP-seq"	"EHBP1L1,SLC19A2"
"gene_set_query"	"15"	"0.1271"	"REST_HCT116_HG19"	"REST"	"1"	"397"	"0.1785"	"1.0"	"5.609"	"ENCODE--ChIP-seq"	"PCLO"
"gene_set_query"	"16"	"0.1356"	"YY1_ECC1_HG19"	"YY1"	"2"	"1643"	"0.2012"	"1.0"	"2.707"	"ENCODE--ChIP-seq"	"PABPC1L,TXNDC5"
"gene_set_query"	"17"	"0.1441"	"SREBF1_HEPG2_HG19"	"SREBF1"	"1"	"455"	"0.2015"	"1.0"	"4.893"	"ENCODE--ChIP-seq"	"SLC19A2"
"gene_set_query"	"18"	"0.1525"	"ZBTB7A_ECC1_HG19"	"ZBTB7A"	"2"	"1753"	"0.2205"	"1.0"	"2.537"	"ENCODE--ChIP-seq"	"PABPC1L,STXBP6"
"gene_set_query"	"19"	"0.161"	"JUN_HEPG2_HG19"	"JUN"	"2"	"1796"	"0.2281"	"1.0"	"2.476"	"ENCODE--ChIP-seq"	"SLC19A2,TXNDC5"
"gene_set_query"	"20"	"0.1695"	"TFAP2A_HELAS3_HG19"	"TFAP2A"	"2"	"1810"	"0.2306"	"1.0"	"2.457"	"ENCODE--ChIP-seq"	"EHBP1L1,SLC19A2"
"gene_set_query"	"21"	"0.178"	"BACH1_H1HESC_HG19"	"BACH1"	"2"	"1814"	"0.2313"	"1.0"	"2.452"	"ENCODE--ChIP-seq"	"PCLO,PABPC1L"
"gene_set_query"	"22"	"0.1864"	"BHLHE40_GM12878_HG19"	"BHLHE40"	"2"	"1816"	"0.2316"	"1.0"	"2.449"	"ENCODE--ChIP-seq"	"PABPC1L,STXBP6"
"gene_set_query"	"23"	"0.1949"	"CEBPB_MYOCYTE_MM9"	"CEBPB"	"1"	"535"	"0.2321"	"1.0"	"4.16"	"ENCODE--ChIP-seq"	"SLC19A2"
"gene_set_query"	"24"	"0.2034"	"MXI1_SKNSH_HG19"	"MXI1"	"2"	"1820"	"0.2323"	"1.0"	"2.444"	"ENCODE--ChIP-seq"	"PABPC1L,SLC19A2"
"gene_set_query"	"25"	"0.2119"	"ZNF263_HEK293_HG19"	"ZNF263"	"2"	"1830"	"0.2341"	"1.0"	"2.43"	"ENCODE--ChIP-seq"	"STARD8,SLC19A2"
"gene_set_query"	"26"	"0.2203"	"MYC_A549_HG19"	"MYC"	"2"	"1839"	"0.2357"	"1.0"	"2.418"	"ENCODE--ChIP-seq"	"SLC19A2,TXNDC5"
"gene_set_query"	"27"	"0.2288"	"E2F4_K562_HG19"	"E2F4"	"2"	"1847"	"0.2371"	"1.0"	"2.408"	"ENCODE--ChIP-seq"	"SLC19A2,TXNDC5"
"gene_set_query"	"28"	"0.2373"	"NR2F2_MCF7_HG19"	"NR2F2"	"1"	"551"	"0.238"	"1.0"	"4.039"	"ENCODE--ChIP-seq"	"SLC19A2"
"gene_set_query"	"29"	"0.2458"	"NFIC_ECC1_HG19"	"NFIC"	"1"	"576"	"0.2472"	"1.0"	"3.863"	"ENCODE--ChIP-seq"	"STXBP6"
"gene_set_query"	"30"	"0.2542"	"PBX3_A549_HG19"	"PBX3"	"2"	"1958"	"0.2566"	"1.0"	"2.271"	"ENCODE--ChIP-seq"	"PABPC1L,SLC19A2"
"gene_set_query"	"31"	"0.2627"	"RXRA_HEPG2_HG19"	"RXRA"	"1"	"655"	"0.2755"	"1.0"	"3.396"	"ENCODE--ChIP-seq"	"TXNDC5"
"gene_set_query"	"32"	"0.2712"	"BATF_GM12878_HG19"	"BATF"	"1"	"676"	"0.2829"	"1.0"	"3.291"	"ENCODE--ChIP-seq"	"EHBP1L1"
"gene_set_query"	"33"	"0.2797"	"TAL1_ERYTHROBLAST_MM9"	"TAL1"	"1"	"722"	"0.2986"	"1.0"	"3.081"	"ENCODE--ChIP-seq"	"EHBP1L1"
"gene_set_query"	"34"	"0.2881"	"GABPA_HEPG2_HG19"	"GABPA"	"2"	"2285"	"0.3134"	"1.0"	"1.946"	"ENCODE--ChIP-seq"	"PABPC1L,TXNDC5"
"gene_set_query"	"35"	"0.2966"	"ZEB1_GM12878_HG19"	"ZEB1"	"1"	"803"	"0.3255"	"1.0"	"2.77"	"ENCODE--ChIP-seq"	"PABPC1L"
"gene_set_query"	"36"	"0.3051"	"FOXA1_T47D_HG19"	"FOXA1"	"1"	"817"	"0.33"	"1.0"	"2.722"	"ENCODE--ChIP-seq"	"SLC19A2"
"gene_set_query"	"37"	"0.3136"	"ZNF274_K562_HG19"	"ZNF274"	"1"	"887"	"0.3521"	"1.0"	"2.507"	"ENCODE--ChIP-seq"	"EHBP1L1"
"gene_set_query"	"38"	"0.322"	"RFX5_SKNSH_HG19"	"RFX5"	"1"	"938"	"0.3677"	"1.0"	"2.371"	"ENCODE--ChIP-seq"	"SLC19A2"
"gene_set_query"	"39"	"0.3305"	"TCF12_MYOCYTE_MM9"	"TCF12"	"1"	"1004"	"0.3873"	"1.0"	"2.215"	"ENCODE--ChIP-seq"	"EHBP1L1"
"gene_set_query"	"40"	"0.339"	"ZKSCAN1_CH12LX_MM9"	"ZKSCAN1"	"1"	"1034"	"0.396"	"1.0"	"2.15"	"ENCODE--ChIP-seq"	"EHBP1L1"
"gene_set_query"	"41"	"0.3475"	"BCL11A_GM12878_HG19"	"BCL11A"	"1"	"1038"	"0.3972"	"1.0"	"2.142"	"ENCODE--ChIP-seq"	"EHBP1L1"
"gene_set_query"	"42"	"0.3559"	"CEBPD_HEPG2_HG19"	"CEBPD"	"1"	"1105"	"0.416"	"1.0"	"2.012"	"ENCODE--ChIP-seq"	"SLC19A2"
"gene_set_query"	"43"	"0.3644"	"SIX5_H1HESC_HG19"	"SIX5"	"1"	"1145"	"0.427"	"1.0"	"1.942"	"ENCODE--ChIP-seq"	"PCLO"
"gene_set_query"	"44"	"0.3729"	"MAFK_ESE14_MM9"	"MAFK"	"1"	"1169"	"0.4334"	"1.0"	"1.902"	"ENCODE--ChIP-seq"	"SLC19A2"
